Customer_ID,Customer_Name,Gender,City,State,Country,Email,Registration_Date
1,Customer 000001,female,Pune,Telangana,India,customer000001@example.com,2022-05-24
2,Customer 000002,male,Kolkata,Rajasthan,India,customer000002@example.com,2022-05-27
3,Customer 000003,Other,Delhi,Uttar Pradesh,India,customer000003@example.com,2022-09-02
4,Customer 000004,F,Lucknow,Rajasthan,India,customer000004@example.com,2024-05-27
5,Customer 000005,Male,Delhi,Karnataka,India,customer000005@example.com,2024-01-12
6,Customer 000006,Other,Ahmedabad,Maharashtra,India,customer000006@example.com,2024-07-15
7,Customer 000007,M,Jaipur,Telangana,India,customer000007@example.com,2022-05-07
8,Customer 000008,F,Mumbai,Gujarat,India,customer000008@example.com,2021-07-25
9,Customer 000009,female,Delhi,Karnataka,India,customer000009@example.com,2021-07-17
10,Customer 000010,female,Jaipur,Karnataka,India,customer000010@example.com,2022-11-11
11,Customer 000011,Female,Jaipur,Telangana,India,customer000011@example.com,2024-01-07
12,Customer 000012,Female,Ahmedabad,Delhi,India,customer000012@example.com,2024-12-20
13,Customer 000013,Male,Ahmedabad,Gujarat,India,customer000013@example.com,2021-12-06
14,Customer 000014,Male,Ahmedabad,Rajasthan,India,customer000014@example.com,2021-08-27
15,Customer 000015,Other,Lucknow,Uttar Pradesh,India,customer000015@example.com,2022-12-24
16,Customer 000016,male,Jaipur,Karnataka,India,customer000016@example.com,2023-06-19
17,,Other,Chennai,Karnataka,India,customer000017@example.com,2025-04-13
18,Customer 000018,M,Mumbai,Delhi,India,customer000018@example.com,2025-11-28
19,Customer 000019,male,Mumbai,Rajasthan,India,customer000019@example.com,2023-08-01
20,Customer 000020,female,Pune,Maharashtra,India,customer000020@example.com,2023-05-29
21,Customer 000021,F,Kolkata,Rajasthan,India,customer000021@example.com,2025-03-17
22,Customer 000022,Male,Kolkata,Maharashtra,India,customer000022@example.com,2025-06-15
23,Customer 000023,Male,Jaipur,Telangana,India,customer000023@example.com,2023-11-18
24,Customer 000024,Other,Ahmedabad,Rajasthan,India,customer000024@example.com,2021-08-20
25,Customer 000025,male,Hyderabad,Uttar Pradesh,India,customer000025@example.com,2021-09-13
26,Customer 000026,female,Pune,Karnataka,India,customer000026@example.com,2024-01-18
27,Customer 000027,F,Lucknow,Gujarat,India,customer000027@example.com,2023-03-07
28,Customer 000028,M,Pune,Uttar Pradesh,India,customer000028@example.com,2022-03-18
29,Customer 000029,Male,Ahmedabad,Karnataka,India,customer000029@example.com,2024-08-20
30,Customer 000030,Female,Mumbai,Gujarat,India,customer000030@example.com,2021-01-19
31,Customer 000031,Male,Jaipur,Telangana,India,customer000031@example.com,2021-05-27
32,Customer 000032,Male,Delhi,Delhi,India,customer000032@example.com,2025-06-14
33,Customer 000033,male,Bengaluru,Gujarat,India,customer000033@example.com,2023-01-31
34,Customer 000034,Male,Lucknow,Tamil Nadu,India,customer000034@example.com,2023-03-05
35,Customer 000035,female,Bengaluru,Delhi,India,customer000035@example.com,2024-05-18
36,Customer 000036,male,Bengaluru,Tamil Nadu,India,customer000036@example.com,2024-05-09
37,Customer 000037,female,Lucknow,Delhi,India,customer000037@example.com,2025-07-21
38,Customer 000038,Male,Lucknow,Telangana,India,customer000038@example.com,2025-05-05
39,Customer 000039,Other,Hyderabad,Tamil Nadu,India,customer000039@example.com,2021-01-20
40,Customer 000040,Female,Delhi,Gujarat,India,customer000040@example.com,2024-02-10
41,Customer 000041,Other,Hyderabad,Gujarat,India,customer000041@example.com,2021-09-08
42,Customer 000042,F,Mumbai,Uttar Pradesh,India,customer000042@example.com,2024-02-18
43,Customer 000043,Other,Jaipur,Gujarat,India,customer000043@example.com,2025-08-31
44,Customer 000044,Male,Lucknow,Karnataka,India,customer000044@example.com,2022-09-30
45,Customer 000045,Male,Jaipur,Tamil Nadu,India,customer000045@example.com,2022-04-11
46,Customer 000046,Female,Delhi,Telangana,India,customer000046@example.com,2023-03-06
47,Customer 000047,Other,Jaipur,Uttar Pradesh,India,customer000047@example.com,2025-11-30
48,Customer 000048,male,Hyderabad,Uttar Pradesh,India,customer000048@example.com,2021-07-13
49,Customer 000049,F,Hyderabad,Rajasthan,India,customer000049@example.com,2023-08-24
50,Customer 000050,male,Ahmedabad,Delhi,India,customer000050@example.com,2022-10-30
51,Customer 000051,Female,Kolkata,Uttar Pradesh,India,customer000051@example.com,2021-08-29
52,Customer 000052,Female,Jaipur,Delhi,India,customer000052@example.com,2021-09-28
53,Customer 000053,M,Jaipur,Delhi,India,customer000053@example.com,2023-07-29
54,Customer 000054,Male,Jaipur,Tamil Nadu,India,customer000054@example.com,2024-10-07
55,Customer 000055,male,Mumbai,Tamil Nadu,India,customer000055@example.com,2023-11-03
56,Customer 000056,male,Ahmedabad,Maharashtra,India,customer000056@example.com,2023-01-08
57,Customer 000057,male,Delhi,Telangana,India,customer000057@example.com,2024-01-28
58,Customer 000058,Female,Jaipur,Telangana,India,customer000058@example.com,2025-04-05
59,Customer 000059,M,Jaipur,Tamil Nadu,India,customer000059@example.com,2021-04-22
60,Customer 000060,Female,Chennai,Uttar Pradesh,India,customer000060@example.com,2024-09-25
61,Customer 000061,Other,Bengaluru,Gujarat,India,customer000061@example.com,2023-03-16
62,Customer 000062,female,Chennai,Delhi,India,customer000062@example.com,2023-05-13
63,Customer 000063,M,Delhi,Uttar Pradesh,India,customer000063@example.com,2024-07-23
64,Customer 000064,female,Lucknow,Telangana,India,customer000064@example.com,2025-04-13
65,Customer 000065,Female,Mumbai,Rajasthan,India,customer000065@example.com,2025-03-15
66,Customer 000066,F,Jaipur,Tamil Nadu,India,customer000066@example.com,2025-08-27
67,Customer 000067,female,Hyderabad,Uttar Pradesh,India,customer000067@example.com,2022-07-31
68,Customer 000068,Male,Delhi,Gujarat,India,customer000068@example.com,2022-03-02
69,Customer 000069,F,Delhi,Gujarat,India,customer000069@example.com,2024-06-22
70,Customer 000070,F,Ahmedabad,Gujarat,India,customer000070@example.com,2024-04-17
71,Customer 000071,Female,Hyderabad,Maharashtra,India,customer000071@example.com,2025-04-15
72,Customer 000072,female,Kolkata,Karnataka,India,customer000072@example.com,2021-09-09
73,Customer 000073,female,Ahmedabad,Karnataka,India,customer000073@example.com,2025-06-23
74,Customer 000074,female,Hyderabad,Rajasthan,India,customer000074@example.com,2023-11-27
75,Customer 000075,F,Lucknow,Uttar Pradesh,India,customer000075@example.com,2025-05-12
76,Customer 000076,M,Pune,Uttar Pradesh,India,customer000076@example.com,2024-11-06
