Employee_ID,Employee_Name,Department,Job_Title,Warehouse_ID,Hire_Date,Salary
1,Employee 00001,Warehouse,Manager,677,2017-04-09,41910.6
2,Employee 00002,Sales,Supervisor,343,2022-07-07,177466.27
3,Employee 00003,Warehouse,Executive,6,2018-12-11,71046.42
4,Employee 00004,Warehouse,Coordinator,89,2016-05-06,51513.61
5,Employee 00005,Procurement,Coordinator,689,2018-05-09,37362.11
6,Employee 00006,Procurement,Analyst,97,2023-04-14,130441.73
7,Employee 00007,Warehouse,Coordinator,635,2019-04-08,76152.49
8,Employee 00008,Procurement,Supervisor,16,2021-08-17,170174.11
9,Employee 00009,warehouse,Associate,339,2017-08-15,72560.53
10,Employee 00010,Procurement,Executive,597,2022-04-25,85057.08
11,Employee 00011,Logistics,Associate,739,2017-04-08,157627.38
12,Employee 00012,Sales,Manager,877,2021-04-26,145635.07
13,Employee 00013,finance ,Analyst,980,2020-05-12,147696.24
14,Employee 00014,Finance,Executive,149,2015-10-01,56731.06
15,Employee 00015,Sales,Executive,875,2017-07-03,64823.93
16,Employee 00016,Sales,Analyst,610,2015-11-26,93892.77
17,Employee 00017,Procurement,Coordinator,732,2020-10-07,175534.1
18,Employee 00018,Sales,Manager,550,2021-07-04,151516.85
19,Employee 00019,Sales,Analyst,433,2016-01-31,134790.57
20,Employee 00020,Warehouse,Manager,13,2016-03-26,111047.96
21,Employee 00021,Finance,Coordinator,833,2016-11-13,47314.11
22,Employee 00022,Operations,Associate,996,2020-07-28,98079.39
23,Employee 00023,Procurement,Analyst,824,2023-11-05,24842.12
24,Employee 00024,Warehouse,Manager,257,2021-12-04,129380.31
25,Employee 00025,Operations,Coordinator,728,2022-03-03,115597.42
26,Employee 00026,Warehouse,Analyst,469,2024-03-29,173137.82
27,Employee 00027,Warehouse,Associate,286,2015-07-10,31620.35
28,Employee 00028,Operations ,Manager,935,2017-03-10,104383.04
29,Employee 00029,Procurement,Executive,23,2021-08-30,79252.31
30,Employee 00030,Warehouse,Executive,968,2019-06-21,65481.58
31,Employee 00031,Sales ,Supervisor,825,2017-07-25,133451.35
32,Employee 00032,Finance,Coordinator,665,2021-05-29,100643.26
33,Employee 00033,Procurement,Manager,662,2023-08-06,152089.61
34,Employee 00034,Warehouse,Manager,57,2016-03-21,174533.9
35,Employee 00035,Sales,Coordinator,389,2017-10-06,43532.19
36,Employee 00036,Operations,Analyst,59,2020-07-10,135906.93
37,Employee 00037,Warehouse,Associate,857,2023-06-07,103943.0
38,Employee 00038,Warehouse,Analyst,708,2020-07-23,135142.8
39,Employee 00039,Operations,Coordinator,709,2018-03-30,54695.46
40,Employee 00040,Warehouse,Associate,176,2018-04-16,97755.84
41,Employee 00041,Operations,Associate,256,2021-05-17,88004.23
42,Employee 00042,Finance,Manager,680,2022-07-05,88156.92
43,Employee 00043,Operations,Associate,732,2021-02-12,62605.64
44,Employee 00044,Warehouse,Executive,554,2018-07-14,75088.37
45,Employee 00045,Operations,Executive,566,2020-05-28,147952.31
46,Employee 00046,Finance,Executive,942,2015-12-16,143615.92
47,Employee 00047,Logistics,Coordinator,276,2015-03-03,74353.53
48,Employee 00048,Warehouse,Coordinator,737,2024-01-05,34058.74
49,Employee 00049,Logistics,Associate,252,2017-07-09,73263.02
50,Employee 00050,Operations,Manager,424,2021-12-13,24990.81
51,Employee 00051,Sales,Coordinator,66,2021-11-03,29170.58
52,Employee 00052,Procurement,Manager,318,2018-06-11,62066.53
53,Employee 00053,Procurement,Executive,334,2016-04-08,140018.3
54,Employee 00054,Operations,Analyst,607,2017-01-26,136393.04
55,Employee 00055,Warehouse,Manager,275,2022-07-20,132094.93
56,Employee 00056,Sales,Manager,232,2024-02-08,63523.23
57,Employee 00057,Sales,Associate,46,2017-03-24,24499.09
58,Employee 00058,Warehouse,Coordinator,684,2015-08-21,170917.2
59,Employee 00059,Sales,Coordinator,459,2015-11-26,155938.89
60,Employee 00060,Finance,Manager,414,2024-03-16,73759.2
61,Employee 00061,Logistics,Manager,424,2020-02-09,66066.02
62,Employee 00062,Procurement,Analyst,543,2017-05-26,76238.32
63,Employee 00063,finance,Executive,42,2021-10-10,155337.89
64,Employee 00064,Operations,Executive,162,2016-05-06,175202.22
65,Employee 00065,Warehouse,Executive,245,2023-10-03,108531.56
66,Employee 00066,Sales,Associate,259,2022-06-06,50423.91
67,Employee 00067,Finance,Supervisor,283,2019-04-18,129921.82
68,Employee 00068,Operations,Analyst,372,2018-07-24,105721.01
69,Employee 00069,Sales,Coordinator,882,2019-08-24,99202.07
70,Employee 00070,Operations,Supervisor,915,2017-06-07,136511.77
71,Employee 00071,Warehouse,Coordinator,940,2015-08-26,153591.26
72,Employee 00072,Logistics,Analyst,734,2017-11-09,133708.04
73,Employee 00073,Warehouse,Supervisor,371,2015-12-21,117958.03
74,Employee 00074,Logistics,Executive,68,2023-11-28,105873.3
75,Employee 00075,Operations,Executive,53,2015-07-22,158211.58
76,Employee 00076,Sales,Associate,197,2020-07-01,124544.93
77,Employee 00077,Sales,Executive,628,2021-12-15,102904.81
78,Employee 00078,Finance,Manager,739,2020-12-05,18375.66
79,Employee 00079,Logistics,Supervisor,946,2023-02-19,143604.98
80,Employee 00080,Warehouse,Manager,47,2017-08-19,62105.17
81,Employee 00081,Operations,Manager,832,2020-01-04,103594.51
82,Employee 00082,Logistics,Analyst,567,2019-09-07,63485.17
83,Employee 00083,Logistics,Analyst,539,2015-11-05,110884.44
84,Employee 00084,Finance,Analyst,183,2019-11-27,135712.76
85,Employee 00085,Finance,Manager,910,2022-06-07,172018.2
86,Employee 00086,Sales,Analyst,135,2022-06-26,165218.86
87,Employee 00087,Sales,Coordinator,362,2016-03-12,104936.1
88,Employee 00088,Warehouse,Supervisor,368,2019-06-17,25473.93
89,Employee 00089,Finance,Associate,550,2021-03-09,174312.07
90,Employee 00090,Warehouse,Associate,36,2023-06-19,60907.81
91,Employee 00091,Operations,Coordinator,438,2022-08-02,165508.16
92,Employee 00092,Finance,Coordinator,49,2022-11-23,162169.72
93,Employee 00093,Finance,Manager,147,2023-10-20,44918.17
94,Employee 00094,Finance,Associate,186,2018-10-14,43258.89
95,Employee 00095,Procurement,Manager,95,2016-10-11,65299.07
96,Employee 00096,Sales,Supervisor,227,2020-05-16,118762.7
97,Employee 00097,,Analyst,428,2023-10-06,117587.35
98,Employee 00098,Logistics,Associate,365,2023-05-31,174272.47
99,Employee 00099,Procurement,Supervisor,316,2018-08-14,116023.47
100,Employee 00100,,Coordinator,916,2016-08-11,37917.79
101,Employee 00101,Finance,Executive,951,2022-05-21,28554.32
102,Employee 00102,Finance,Associate,936,2020-03-01,82882.8
103,Employee 00103,Sales,Manager,365,2015-01-08,147499.02
104,Employee 00104,Warehouse,Coordinator,893,2023-05-21,106405.44
105,Employee 00105,Logistics,Supervisor,636,2017-08-07,107568.85
106,Employee 00106,Operations,Manager,194,2020-12-14,122088.25
107,Employee 00107,Logistics,Associate,444,2015-06-01,140913.64
108,Employee 00108,Procurement,Associate,364,2019-01-13,29225.37
109,Employee 00109,Procurement,Associate,145,2015-09-10,135723.29
110,Employee 00110,Sales,Supervisor,734,2017-12-14,112064.9
111,Employee 00111,Logistics,Associate,889,2021-08-02,146913.93
112,Employee 00112,Sales,Executive,752,2015-06-26,141124.45
113,Employee 00113,Procurement,Supervisor,182,2018-06-30,137539.13
114,Employee 00114,Procurement,Executive,602,2016-06-25,129271.26
115,Employee 00115,Warehouse,Analyst,931,2020-10-01,151237.0
116,Employee 00116,Sales,Coordinator,430,2015-07-31,67237.01
117,Employee 00117,Procurement,Supervisor,881,2021-09-05,46387.55
118,Employee 00118,Procurement,Analyst,848,2024-04-25,22383.23
119,Employee 00119,Sales,Associate,668,2018-09-25,88046.67
120,Employee 00120,Operations,Supervisor,45,2017-09-10,91735.16
121,Employee 00121,Procurement,Executive,323,2020-02-25,141106.72
122,Employee 00122,Sales,Analyst,559,2018-01-25,22438.49
123,Employee 00123,Operations,Manager,211,2023-01-23,85256.71
124,Employee 00124,Warehouse,Coordinator,579,2023-06-09,154595.48
125,Employee 00125,Operations,Associate,569,2020-06-20,62345.63
126,Employee 00126,Warehouse,Coordinator,652,2021-04-28,151434.02
127,Employee 00127,Procurement,Analyst,632,2015-12-17,46910.0
128,Employee 00128,Sales,Executive,5,2024-06-23,34989.87
129,Employee 00129,Warehouse,Executive,537,2017-04-05,175827.63
130,Employee 00130,Warehouse,Manager,200,2021-01-23,95427.51
131,Employee 00131,Warehouse,Associate,277,2016-06-21,49568.76
132,Employee 00132,Procurement,Analyst,130,2017-05-23,79827.44
133,Employee 00133,logistics,Analyst,883,2016-06-24,79345.4
134,Employee 00134,Logistics,Coordinator,198,2017-10-22,132410.25
135,Employee 00135,Logistics,Executive,93,2019-12-10,56580.38
136,Employee 00136,Sales,Executive,966,2023-12-16,155980.03
137,Employee 00137,Finance,Supervisor,728,2017-06-09,153785.22
138,Employee 00138,Sales,Coordinator,732,2017-02-01,152582.06
139,Employee 00139,Operations,Manager,654,2021-09-10,169092.15
140,Employee 00140,Warehouse,Analyst,913,2015-10-09,47686.74
141,Employee 00141,Finance,Analyst,891,2016-12-23,123636.81
142,Employee 00142,Logistics,Executive,2,2015-01-19,113764.89
143,Employee 00143,Operations,Supervisor,267,2015-06-29,38479.32
144,Employee 00144,Operations,Executive,455,2021-05-25,48313.18
145,Employee 00145,Operations,Manager,337,2019-03-19,68859.0
